ClientIP,Country,Provinces,ISP
1.55.223.50,Vietnam,Vinh Yen,FPT Telecom Company
1.54.225.86,Vietnam,Hanoi,FPT Telecom Company
14.247.251.3,Vietnam,Ninh Binh,Vietnam Posts and Telecommunications Group
75.31.175.217,United States,Garden Grove,AT&T Corp.
118.69.62.229,Vietnam,Ho Chi Minh City,FPT Telecom Company
113.23.53.17,Vietnam,Hanoi,FPT Telecom Company
113.23.50.128,Vietnam,Hanoi,FPT Telecom Company
118.68.10.94,Vietnam,Thu Dau Mot,FPT Telecom Company
27.72.84.23,Vietnam,Dong Hoi,Viettel Group
50.232.13.210,United States,Minneapolis,"Comcast Cable Communications, LLC"
14.182.47.175,Vietnam,Thai Nguyen,Vietnam Posts and Telecommunications Group
14.230.193.102,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
113.181.208.110,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
14.166.121.52,Vietnam,Ha Long,Vietnam Posts and Telecommunications Group
118.71.198.74,Vietnam,Thanh Hoa,FPT Telecom Company
42.117.202.220,Vietnam,Cao Lanh,FPT Telecom Company
14.247.160.184,Vietnam,Ha Long,Vietnam Posts and Telecommunications Group
14.181.47.166,Vietnam,Yen Bai,Vietnam Posts and Telecommunications Group
103.199.33.203,Vietnam,Ho Chi Minh City,MOBIFONE Corporation
14.166.221.124,Vietnam,Phu Ly,Vietnam Posts and Telecommunications Group
66.249.82.87,Australia,Sydney,Google LLC
115.76.241.125,Vietnam,My Tho,Viettel Group
14.168.132.177,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
103.199.32.78,Vietnam,Phan Thiet,MOBIFONE Corporation
178.7.16.74,Germany,Passau,Vodafone GmbH
100.114.134.24,"","",""
118.68.192.52,Vietnam,Hanoi,FPT Telecom Company
14.244.122.221,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
39.12.94.19,Taiwan,Taipei,"Far EasTone Telecommunication Co., Ltd."
58.187.168.162,Vietnam,Ho Chi Minh City,FPT Telecom Company
113.20.102.143,Vietnam,Hanoi,CMC Telecom Infrastructure Company
113.189.161.146,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
66.249.93.89,United States,Mountain View,Google LLC
173.252.127.28,United States,Ashburn,"Facebook, Inc."
113.23.50.117,Vietnam,Hanoi,FPT Telecom Company
58.187.172.129,Vietnam,Thu Dau Mot,FPT Telecom Company
14.239.58.189,Vietnam,Phu Ly,Vietnam Posts and Telecommunications Group
42.117.52.81,Vietnam,Ho Chi Minh City,FPT Telecom Company
14.230.89.253,Vietnam,Rach Gia,Vietnam Posts and Telecommunications Group
31.13.127.7,Ireland,Dublin,Facebook Ireland Ltd
14.182.116.67,Vietnam,Bac Giang,Vietnam Posts and Telecommunications Group
183.80.21.29,Vietnam,Ho Chi Minh City,FPT Telecom Company
14.175.51.197,Vietnam,Thai Nguyen,Vietnam Posts and Telecommunications Group
113.23.53.30,Vietnam,Hanoi,FPT Telecom Company
14.229.84.198,Vietnam,Bac Ninh,Vietnam Posts and Telecommunications Group
113.23.55.29,Vietnam,Haiphong,FPT Telecom Company
14.231.84.141,Vietnam,Bac Ninh,Vietnam Posts and Telecommunications Group
123.18.232.27,Vietnam,Haiphong,Vietnam Posts and Telecommunications Group
123.17.129.45,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.112.91.173,Vietnam,Ben Tre,FPT Telecom Company
118.69.93.37,Vietnam,Ca Mau,FPT Telecom Company
117.2.19.151,Vietnam,Da Nang,Viettel Group
116.103.44.106,Vietnam,Hue,Viettel Group
14.177.108.40,Vietnam,Son Tay,Vietnam Posts and Telecommunications Group
58.187.59.209,Vietnam,Thu Dau Mot,FPT Telecom Company
14.166.87.49,Vietnam,Ninh Binh,Vietnam Posts and Telecommunications Group
14.235.46.240,Vietnam,Lai Chau,Vietnam Posts and Telecommunications Group
123.17.107.243,Vietnam,Thanh Hoa,Vietnam Posts and Telecommunications Group
113.23.26.88,Vietnam,Ho Chi Minh City,FPT Telecom Company
115.77.188.54,Vietnam,Ho Chi Minh City,Viettel Group
118.70.54.231,Vietnam,Dien Bien Phu,FPT Telecom Company
118.71.219.192,Vietnam,Hanoi,FPT Telecom Company
123.18.88.10,Vietnam,Ha Long,Vietnam Posts and Telecommunications Group
42.112.239.29,Vietnam,Hanoi,FPT Telecom Company
1.55.41.245,Vietnam,Ho Chi Minh City,FPT Telecom Company
27.66.158.162,Vietnam,Bac Giang,Viettel Group
1.55.135.190,Vietnam,Thai Binh,FPT Telecom Company
14.171.13.12,Vietnam,Bac Giang,Vietnam Posts and Telecommunications Group
42.114.34.231,Vietnam,Haiphong,FPT Telecom Company
42.118.41.150,Vietnam,Ho Chi Minh City,FPT Telecom Company
42.113.157.194,Vietnam,Hanoi,FPT Telecom Company
14.233.118.105,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
1.54.169.226,Vietnam,Ho Chi Minh City,FPT Telecom Company
14.165.26.227,Vietnam,Hue,Vietnam Posts and Telecommunications Group
171.243.136.182,Vietnam,Pleiku,Viettel Group
66.249.82.127,Australia,Sydney,Google LLC
115.74.224.236,Vietnam,Bien Hoa,Viettel Group
42.115.143.124,Vietnam,Ho Chi Minh City,FPT Telecom Company
